text,Anger,Fear,Joy,Sadness,Surprise
Autocorrect changes ''em' to 'me' which I resent greatly,1,0,0,0,0
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",1,0,1,0,0
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,1,1,0,0,0
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,0,1,1,1,0
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,1,0,0,1,0
You have to find a way to top yourself. #glee,0,0,1,0,0
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,1,0,0,0,0
#smile every morning to a positive head start with your #clients relations,0,0,1,0,0
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,0,1,0,0,0
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,1,0,1,1,0
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),0,0,0,1,0
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",0,1,0,0,0
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,1,0,0,0,0
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",1,0,0,1,1
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,0,0,1,0,0
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,0,0,1,0,0
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,0,0,1,1,0
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,0,0,1,0,0
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,1,0,1,0,1
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",0,0,0,1,0
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,0,0,0,1,0
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",1,0,0,0,0
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,1,0,0,0,0
@loismackey_ @Dory nah way that's horrible,1,0,0,0,0
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,1,1,0,0,0
angel delight is my everything,0,0,1,0,0
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,1,0,0,0,0
In dire need of a worship session to just let go of everything,0,1,0,1,0
Brb going to sulk in bed until Friday,1,0,1,1,0
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,0,0,1,0,0
This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,0,0,1,0,0
Weak people revenge. Strong people forgive. Intelligent people ignore.,1,0,0,0,0
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,1,0,0,0,0
"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..",0,0,1,0,0
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,0,0,1,0,0
@Bridget_Delia @originalaubs omg that's terrible,1,1,0,1,0
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",0,1,0,0,0
"Jorge deserves it, honestly. He's weak.  #90dayfiance",1,0,0,0,0
Modern family never fails to cheer me up. Especially Phil.,0,0,1,0,0
Sometimes I get to sit back and be proud of myself for pleasing Him so well.,0,0,1,0,0
Follow me on Snapchat 👻 Carlabtst15 #snapchat ,0,0,1,0,0
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),1,0,0,0,0
It's way too hard not to get discouraged.,1,0,0,1,0
@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,0,0,1,0,1
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",1,1,0,0,0
Manchester derby at home ,0,0,1,0,0
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",1,1,0,0,1
"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",0,0,1,0,0
@JaredWyand Maybe if it was transgender the media would cover it #outrage,1,0,0,1,0
her; i want a playful relationship\nme; *kicks her off the couch*,0,0,1,0,0
Romero is fucking dreadful like seriously my 11 month old is better than him.,1,0,0,0,0
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,0,0,1,0,0
Since the 'update' my @iPhone loses power nearly 40% faster. ,1,0,0,1,0
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",1,0,0,0,0
"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",0,0,1,0,0
@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,0,0,1,0,0
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,0,0,0,1,1
"Anger, resentment, and hatred are the destroyer of your fortune today.",1,0,0,0,0
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,0,0,1,0,0
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,1,0,0,1,0
"@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs",1,0,1,0,0
so gutted i dropped one of my earrings down the sink at school,0,0,0,1,0
The Quarterback' wrecks me every time.. #glee,0,0,1,0,0
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",0,0,1,0,0
"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",0,0,1,0,0
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.",0,0,1,0,0
I'm so bored and fat and full and ridiculously overweight and rolls galore ,0,0,0,1,0
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,0,0,1,0,0
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",0,0,1,0,0
"@happyandbashful Flirt, simper, pout, repeat. Yuck.",1,0,0,0,0
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",1,0,0,0,0
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,1,0,0,0,0
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,1,0,0,1,0
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",1,0,0,0,0
Nor hell a fury like a woman scorned -- William Congreve,1,1,0,0,0
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,0,0,0,1,0
@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace,0,0,1,1,0
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",0,0,0,1,0
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,1,0,0,1,0
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",0,1,1,0,0
@Myahrissavietta I'm cheery now 😘😉,0,0,1,0,0
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,0,0,1,0,0
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,1,1,1,1,0
@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,0,0,1,0,0
Brad Pitt being investigated for child abuse?! this all just got really #dark,1,0,0,1,0
Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,0,0,1,0,1
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,1,0,0,0,0
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",1,0,1,0,0
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,0,0,1,0,0
Need a new outlet for #rage,1,0,0,0,0
Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,0,0,1,0,0
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,0,0,1,0,0
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,0,0,1,0,0
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,0,0,1,0,0
"@healeyraine I'm offended, I actually am",1,0,0,1,0
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",1,0,0,1,0
Gaaaaaaaad! Should have stayed in London!,1,0,0,1,0
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,0,0,1,1,0
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",1,0,0,0,0
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",0,0,1,0,0
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,1,0,0,0,0
@andreasarahco do you actually heely on campus bc this should scare you,0,1,0,0,0
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,0,0,1,0,1
@STLouis_RamsFan their whole team is limited when they're on the field. ,0,0,1,0,0
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",0,0,1,0,0
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",0,1,0,1,0
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot",0,0,1,0,1
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,0,0,1,0,0
People who go the speed limit irritate me,1,0,0,0,0
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,0,0,1,0,0
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,1,0,0,0,0
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,1,1,0,0,0
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,1,0,0,1,0
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,1,0,0,1,0
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,0,1,0,0,0
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",0,0,1,0,0
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,0,0,0,1,0
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",1,0,0,1,0
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,1,0,0,0,0
@AzyraiZelo I am shy xD,0,1,0,1,0
After what just happened. In need to smoke. ,1,0,0,0,0
@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,1,0,1,0,0
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,1,0,0,0,0
Chris ate all my mac n cheese so imma eat all his taffy #revenge,1,0,1,0,0
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",0,0,1,0,0
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,1,1,0,0,0
I came to work for no reason 😩🔫\nI could've stayed in bed,1,0,0,1,0
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,0,1,0,0,0
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,1,0,0,0,0
hi my names anxiety and i have shaun,0,1,0,0,0
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",0,0,0,1,0
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,1,0,0,0,0
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",0,0,1,0,0
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",0,0,1,0,0
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",1,0,0,0,0
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",0,1,0,1,0
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),0,0,1,0,0
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,0,0,1,0,0
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",1,0,0,0,0
God we need a new goal keeper! They’re both horrific.,1,0,0,0,0
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,0,1,0,1,0
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",0,0,0,1,1
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",0,1,0,0,0
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,0,0,0,1,0
I am worried that she felt safe. #unhappy,0,1,0,1,0
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,0,0,1,1,0
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",0,0,1,0,0
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,1,0,0,0,0
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",0,0,1,0,0
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,1,0,1,0,0
Nothing worse than an uber driver that can't drive. #awful,1,0,0,0,0
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",1,0,0,0,0
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,0,0,1,0,0
@RIPPoohSavage u know ion play that shit bout my weary brother,1,0,0,0,0
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,1,0,0,0,0
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,0,0,1,0,0
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",1,1,0,0,0
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,1,0,0,0,0
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",0,0,0,1,0
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,0,0,1,0,0
@DepressedStride &gt; huff louder,0,0,0,1,0
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",0,0,1,0,0
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,1,0,0,0,0
@Cherie_Fitz it's being extremely playful,0,0,1,0,0
@BarackObama I love Lizzy Warren's latest rage against Wall Street.,1,0,1,0,0
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,1,0,0,0,0
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",0,0,1,0,0
*Sigh* #depression #saddness #afterellen #shitsucks,1,0,0,1,0
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',1,1,0,1,0
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,1,0,0,1,0
"@01Starblazer 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",1,0,0,0,0
I see I'll be hovering over the block button today with much glee.,0,0,1,0,0
"@LaneWoolery @FFKazman experience all plays a role in that, it's education and preparedness not fear",0,1,0,0,0
"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",1,0,0,0,0
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,0,0,1,0,1
Summer officially ends today. #sadness,0,0,0,1,0
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,1,0,0,0,0
"Be happy. Be who you want to be. If others don't like it, then let them be. Happiness is a choice. Life isn't about pleasing everybody....",0,0,1,0,0
@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,1,0,0,0,0
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",0,0,1,0,0
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,0,0,0,1,0
@HillaryClinton did you see the gleeful look on @realDonaldTrump 's face when criminal Don King used the 'n' word to denigrate Blacks?,1,0,1,0,0
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them ,1,0,0,0,0
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,1,0,0,0,0
@kcbbcxo don't get discouraged! it's early on &amp; it can get overwhelming. keep reading &amp; use cue cards 😊 it'll get better!!,0,0,1,0,0
I need a bit of #GBBO to cheer me up after a terrible day!,0,0,0,1,0
When @idinamenzel says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina.,0,0,1,0,0
@JackCurryYES he's just lucky...bad pitchers...#WHATEVER...ElKracken is #legit #future  #gottawearshades #LetsGoYankees,1,0,0,0,0
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,1,1,0,0,0
I was not made for this world. #empath #unhappy,0,0,0,1,0
"Df not be afraid to take a chance on peace, to teach peace, to live peace.Peace will be the last wordvof history Pope John Paul II",0,0,1,0,0
"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",1,0,0,1,0
i'm... nervous about this test rip,0,1,0,1,0
@enews #breezy deserve it..,0,0,1,0,0
"@TheJonFedor @abdophoto My main hesitation to going to the Plus size. But if Apple can get the Plus to the 6 size, think of the ASP jump",0,0,0,1,0
"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.",0,0,1,0,0
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,0,0,1,0,0
"@leighsteinberg April 25th, 2010 for me. Keep up the good work!! #sober #prouder",0,0,1,0,0
"Hey u never know, Channel 4's version of #GBBO might actually be quite good. A few adverts aren't the end of the world. #optimism",0,0,1,0,0
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,0,0,0,1,0
"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",0,0,0,1,0
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,0,0,1,0,0
Your future is bright. #Remember,0,0,1,0,0
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",0,1,0,0,0
"@Harry_Styles 💖\nHeart so pure and smile\nso bright, I love you\nmore than the number\nof stars at night.\nKindly follow me please\nHarry?\n—90,127",0,0,1,0,0
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,0,0,0,1,0
"As your own lives in order to complete our amazing life journey successfully, it is there. ",0,0,1,0,1
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,1,1,0,0,0
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,0,1,0,0,0
will brawndo cure my depression? @MikeJudge #Idiocracytoday,0,0,0,1,0
"#TheWordOfGOD #taught, #preached #correctly will #ComfortTheAfflicted &amp; #AfflictTheComfortable; it will #offend &amp; #TellTheTruth #AboutSin!",0,0,1,0,0
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,1,0,0,0,0
I dislike people who get offended by the littlest shit .,1,0,0,0,0
@salutetroye you look adorable awe,0,0,1,0,0
"@warrensarahh @CjKiid awe, miss y'all too!:)",0,0,1,1,0
"@asjoshtaylor sadly I don't think I'll see you on tour, but have fun, you're gonna rock! 🎉👌🏻💙 #HotForMeTour",0,0,1,1,0
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. ,0,0,1,0,0
"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory",0,0,1,0,0
New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,1,1,0,0,0
F'n morons u23 SMFH can't just be lackadaisical,1,0,0,1,0
@shae_caitlin ur road rage gives me anxiety.,1,1,0,0,0
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,0,0,1,0,0
@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE,0,0,1,0,0
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,0,0,0,1,0
"significantly, with a #bitter smile, 'let me",1,0,0,0,0
@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,1,0,0,0,0
@FlannelJedi This is why I drink and watch You're the Worst as a way to cheer myself up.,0,0,0,1,0
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,0,1,0,0,0
@Tomstarling86 He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,0,0,1,0,0
in health we did a think about depression and now i feel like i have it,0,0,0,1,0
@D_McMenemy It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,0,0,1,0,0
"mattmilne76 Thank you for letting us know!  Please do not hesitate to contact us in the future, if our assistance is needed. Thank you!",0,0,1,0,0
Are there any #horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,0,1,0,0,0
“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,0,0,1,0,0
Muscled man with huge heart is messing with my brain and heart. #lost #confused,0,0,0,1,0
Follow this amazing Australian author @KristyBerridge #fiction  #zombies #angels #demons #vampires #werewolves #follow #authorlove,0,0,1,0,0
@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,1,1,0,0,0
@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,0,0,0,1,0
@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,1,1,0,0,0
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home😍,0,0,1,0,0
"@MannersAboveAll *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",0,0,1,0,0
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,0,0,1,0,1
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",1,0,0,1,0
When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,0,1,0,1,0
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? ",1,0,0,1,0
@LeafyIsHere will showing off biceps scare you?,0,1,0,0,0
@TeamGrout glee,0,0,1,0,0
Awake at 5.30am with a seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge and I'm in uni soon! #grim,1,0,0,1,0
courage the cowardly dog is like american horror story for kids,0,1,0,0,0
Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee,0,0,1,0,0
A #smile doesn't always mean a person is #happy . Sometimes it simply means they are #strong enough to face their own #problems .,0,0,1,1,0
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,0,0,0,1,0
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",0,0,0,1,0
@downeysduckling nick fury,1,0,0,0,0
and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,0,1,0,1,0
