id,text,anger,disgust,fear,joy,sadness
afr_test_track_c_00125,"We have built a system of healthy intergovernmental relations between all spheres, and improved integration within and between them.",,,,,
afr_test_track_c_00126,And these are things that are happening today.,,,,,
afr_test_track_c_00127,It cannot work without bringing back racial discrimination in South Africa.,,,,,
afr_test_track_c_00128,"In this regard, R2.3 billion has been budgeted for industrial policy initiatives and a further R5 billion of tax incentives over three years will support industrial policy.",,,,,
afr_test_track_c_00129,Schoonees and G. Dekker have been promoted.,,,,,
afr_test_track_c_00130,"Clearly, you want to play a role in nation-building and reconciliation.",,,,,
afr_test_track_c_00131,"The 50 ha will consist of stone fruits, vineyards, and olive trees.",,,,,
afr_test_track_c_00132,"We must show them that we are human; that like our Father, we will not condemn them.",,,,,
afr_test_track_c_00133,We're going to find you out.,,,,,
afr_test_track_c_00134,"This committee will, among other things, look at the participation of independent power producers, and protect poor people from rising electricity prices.",,,,,
afr_test_track_c_00135,We have done our best over the past 15 years to eradicate this evil through social services.,,,,,
afr_test_track_c_00136,It is precisely irresponsible actions that cause us to dig thousands of new graves each year.,,,,,
afr_test_track_c_00137,There are businesses that would have a right to exist in our economy if the cost of bandwidth were not so high.,,,,,
afr_test_track_c_00138,But the fact is that eight million people are still without drinking water.,,,,,
afr_test_track_c_00139,"In this regard, there is an urgent need to help address the human rights crisis in that country.",,,,,
afr_test_track_c_00140,"Of these, child abuse probably remains one of the most shocking.",,,,,
afr_test_track_c_00141,"We must put an end to it, and it can begin in our homes.",,,,,
afr_test_track_c_00142,We are threatened by overpopulation.,,,,,
afr_test_track_c_00143,"He says he's using time to ""real"" characters!",,,,,
afr_test_track_c_00144,Striking from the more than 280 Bosman letters is the appreciation and enthusiasm for the task.,,,,,
afr_test_track_c_00145,"The Hiemstra collection in NALN gives a good, albeit incomplete, picture of his work in the service of Afrikaans.",,,,,
afr_test_track_c_00146,His publications were by far the most common: prescribed and performed.,,,,,
afr_test_track_c_00147,These include the construction and upgrading of hospitals and clinics and the further improvement of the working conditions of health workers.,,,,,
afr_test_track_c_00148,A meeting was also held with the Director-General of the Western Cape on this subject.,,,,,
afr_test_track_c_00149,"However, it must not become a tool for sowing division and discord.",,,,,
afr_test_track_c_00150,But this will not solve our problems.,,,,,
afr_test_track_c_00151,"I also want to be able to show off land reform, and for that we need more success stories.",,,,,
afr_test_track_c_00152,At Table Mountain and Queillerie Publishers we got our regular packs and packs of manuscripts.,,,,,
afr_test_track_c_00153,Those people must not be lost to our people.,,,,,
afr_test_track_c_00154,"My success in life also began there, your encouragement of the slightest old cartoon... your lovely humanity.",,,,,
afr_test_track_c_00155,"Recently, for example, we had the unfortunate incident at Bultfontein where police reservists were allegedly involved in such a farm attack.",,,,,
afr_test_track_c_00156,"Nevertheless, these rights must be recognised, exercised and promoted within the framework of a broader national unity.",,,,,
afr_test_track_c_00157,It is also very important that existing projects are successful in order to ensure sustainability in agriculture.,,,,,
afr_test_track_c_00158,Enjoy the packed festival program that the organizers have prepared for us.,,,,,
afr_test_track_c_00159,"I am referring to our cooperatives which, like the banks, must be sympathetic to our farmers.",,,,,
afr_test_track_c_00160,"He's out of a job now, but we're going to pursue a criminal case of fraud against him.",,,,,
afr_test_track_c_00161,"The barber cut them off, Uncle"", replied the Cat.",,,,,
afr_test_track_c_00162,It was to serve as a memorial to the arrival of the French Huguenots in the Cape two centuries earlier.,,,,,
afr_test_track_c_00163,Tuesdays are the day of the child's violins.,,,,,
afr_test_track_c_00164,There is no denying that the progress made since 1994 has been impressive by any measure.,,,,,
afr_test_track_c_00165,They have progressive elements that can certainly be part of our nation-building process.,,,,,
afr_test_track_c_00166,"Mieke, a Dutch girl, joined us as a tour guide from Sumatra in the 1940's.",,,,,
afr_test_track_c_00167,"Municipalities must improve the provision of housing, water, sanitation, electricity, waste management and roads.",,,,,
afr_test_track_c_00168,They also intend to later establish six-acre vineyards on open land.,,,,,
afr_test_track_c_00169,"Access to electricity, water, and sanitation has improved.",,,,,
afr_test_track_c_00170,The advancement of the economy has brought great challenges for all of us.,,,,,
afr_test_track_c_00171,"As mentioned earlier, the stagecoach here comes across on its journeys between Pretoria and Lydenburg.",,,,,
afr_test_track_c_00172,All donations will be acknowledged.,,,,,
afr_test_track_c_00173,I say this because I believe that children are the future of this country.,,,,,
afr_test_track_c_00174,"Just two weeks ago, South Africa, together with Mali, completed part of the archives to preserve the ancient manuscripts of Timbuktu.",,,,,
afr_test_track_c_00175,"Her younger sister, Erna, was from the sub.",,,,,
afr_test_track_c_00176,"Starting this year, all learners in grades 3, 6 and 9 will take literacy and numeracy tests, which are independently moderated.",,,,,
afr_test_track_c_00177,Honiball silently at the large framed color picture of the Adoons family watching a TV broadcast.,,,,,
afr_test_track_c_00178,Biofuels - if properly developed - hold great growth potential for the agricultural sector and should also support emerging farmers.,,,,,
afr_test_track_c_00179,"Until the official investigation is completed, no institution or individual can and should be blamed.",,,,,
afr_test_track_c_00180,"The minimum prescriptivity should apply: the maximum focus on results, affordable sustainability and the empowerment of all stakeholders.",,,,,
afr_test_track_c_00181,Flows of people are still leaving South Africa.,,,,,
afr_test_track_c_00182,Rumpel will get it too; for the three of us carried quite a bit of soul dust down that corridor.,,,,,
afr_test_track_c_00183,I often hear people say they're ready to make empowerment happen.,,,,,
afr_test_track_c_00184,Actions at the turn of a boat and the equipment needed.,,,,,
afr_test_track_c_00185,The EU will lift our export status if the disease spreads to the Western Cape.,,,,,
afr_test_track_c_00186,Each farm has a water meter and will receive a monthly bill from the Water Users Association for the amount of water used.,,,,,
afr_test_track_c_00187,So we came to the end of the list.,,,,,
afr_test_track_c_00188,"In our pursuit to achieve this, the Government of the Western Cape wants to create a home for everyone in our province.",,,,,
afr_test_track_c_00189,"Essie Honiball, widow of the beloved cartoonist T.O.",,,,,
afr_test_track_c_00190,The Government does not have the means to do so.,,,,,
afr_test_track_c_00191,"This protection will lead to the recovery of over-exploited fish species, and their sustainable exploitation outside the restricted zones.",,,,,
afr_test_track_c_00192,"Furthermore, it is also recognised that the scope for SEB is limited within smaller enterprises.",,,,,
afr_test_track_c_00193,"Terrified, my mother longed for her former safe home in Drakenstein.",,,,,
afr_test_track_c_00194,Profits and investments can be withdrawn from the country at any time.,,,,,
afr_test_track_c_00195,My father submitted his resignation because he would rather go back to farming than continue school.,,,,,
afr_test_track_c_00196,"The researchers are learners, the unemployed, and members of local churches and other organizations.",,,,,
afr_test_track_c_00197,The number of people in employment has increased by about half a million a year over the past three years.,,,,,
afr_test_track_c_00198,Crime on farms remains a serious problem.,,,,,
afr_test_track_c_00199,Statistics show that the average salary of farm workers in the Western Cape is 25% higher than the average in South Africa.,,,,,
afr_test_track_c_00200,We must do everything in our power to fight poverty.,,,,,
afr_test_track_c_00201,"Since then, the building has been used as an outbuilding on the farm, including as a wine cellar.",,,,,
afr_test_track_c_00202,But later it seems to have gotten better.,,,,,
afr_test_track_c_00203,And tonight I want to tell you why I feel that way.,,,,,
afr_test_track_c_00204,"This week we suspended 32,687 illegal social security payments, worth R180 million.",,,,,
afr_test_track_c_00205,"Thus, there will be no need to pump the water.",,,,,
afr_test_track_c_00206,5.6 ha of medicinal plants and later 9.6 ha of wine grapes will be established.,,,,,
afr_test_track_c_00207,This is not a pursuit of a so-called racist agenda.,,,,,
afr_test_track_c_00208,The economy has created about one and a half million jobs over the past three years.,,,,,
afr_test_track_c_00209,"From there, travelers had to cross the road in oxcarts.",,,,,
afr_test_track_c_00210,"Today I am privileged to be, as Minister, the political functionary of agriculture in the Western Cape.",,,,,
afr_test_track_c_00211,It also confirms my view that every empowerment project should be linked to a complete mentoring program.,,,,,
afr_test_track_c_00212,So Sartre had to find another illustrator.,,,,,
afr_test_track_c_00213,I want this effort to be an incentive for producers not to sit back and wait.,,,,,
afr_test_track_c_00214,The new Railway Police will be deployed in January 2005.,,,,,
afr_test_track_c_00215,The composition of the council was varied and represented the various groups that regularly use this museum's service.,,,,,
afr_test_track_c_00216,We have been planning this World Cup for years.,,,,,
afr_test_track_c_00217,There were also enough case studies to learn from in Africa and the world.,,,,,
afr_test_track_c_00218,It's easier said than done.,,,,,
afr_test_track_c_00219,The workshops are intended to impart basic skills that all water users should possess.,,,,,
afr_test_track_c_00220,"Similarly, thousands of lives depend on our public rail transportation system.",,,,,
afr_test_track_c_00221,Their name came from the fact that they considered themselves to be from Africa.,,,,,
afr_test_track_c_00222,Freedom is indeed a double-edged sword.,,,,,
afr_test_track_c_00223,"Directly applicable to you is the new government in the Western Cape and also the new national Minister of Agriculture, Tina Joemat-Pettersson.",,,,,
afr_test_track_c_00224,"We want to make sure that you understand that prisoners, despite their crimes, are still part of our communities.",,,,,
afr_test_track_c_00225,There may certainly be exceptions.,,,,,
afr_test_track_c_00226,And eager to share!,,,,,
afr_test_track_c_00227,Our main priority is to protect the Western Cape's oyster export industry.,,,,,
afr_test_track_c_00228,The government is already negotiating with emerging farmers in this regard.,,,,,
afr_test_track_c_00229,"For this job, she had to study about as hard as she had ever studied in her life.",,,,,
afr_test_track_c_00230,"With its educational project on 12 August this year, NALN wanted to respect this preference of the Chief.",,,,,
afr_test_track_c_00231,There is no justification for such acts of willful destruction and cruelty.,,,,,
afr_test_track_c_00232,Job creation stands out as the issue on which the most empty election promises are made.,,,,,
afr_test_track_c_00233,"On the other hand, the withdrawal syndrome that has become apparent within education and the civil service is of great concern.",,,,,
afr_test_track_c_00234,Your partnership is a confirmation of the successes that can be achieved when mentoring is properly implemented.,,,,,
afr_test_track_c_00235,"This is where the strongest objection to an Afrikaans translation arises, writes Hiemstra.",,,,,
afr_test_track_c_00236,Each of us today needs to take a personal step to make a difference in our homes.,,,,,
afr_test_track_c_00237,The forum began its work on 22 July 2007.,,,,,
afr_test_track_c_00238,"This will ensure that the local government has the correct management, administrative and technical skills.",,,,,
afr_test_track_c_00239,"What a wonderful, joyful occasion!",,,,,
afr_test_track_c_00240,"In last night's paper, various allegations were made against Malmesbury.",,,,,
afr_test_track_c_00241,"Without communication, there is a decline in morals.",,,,,
afr_test_track_c_00242,We appeal to them to give the council's report the consideration that their own supporters expect of them.,,,,,
afr_test_track_c_00243,"Initiatives such as the extended public works programme flow directly from the summit, as does the construction sector conference ahead.",,,,,
afr_test_track_c_00244,The inauguration of the railway was accompanied by festivities that lasted for days.,,,,,
afr_test_track_c_00245,"You know our province is water-poor, and the crops we grow are extremely sensitive to climate.",,,,,
afr_test_track_c_00246,Often it is those closest to them who abuse and humiliate the children and or wives.,,,,,
afr_test_track_c_00247,"His birth chamber was also his death chamber, and his grave is a stone's throw from there in the old Huguenot cemetery.",,,,,
afr_test_track_c_00248,"Finally, the role of water.",,,,,
afr_test_track_c_00249,The Government will continue our industrialization programme and to create opportunities for growth and job creation.,,,,,
afr_test_track_c_00250,All 18 of his African TV series were among the SAUK/SABC's top ten programs - most of them indeed the top programs.,,,,,
afr_test_track_c_00251,"This includes the training of master trainers who will provide basic literacy classes for 300,000 adults and young people in 2008.",,,,,
afr_test_track_c_00252,It provided valuable insight into the challenges on the ground in the local government area.,,,,,
afr_test_track_c_00253,"This synchronized process will soon be launched, under the leadership of the South African Council for Geographical Names and its provincial committees.",,,,,
afr_test_track_c_00254,Richie Postma still lights up the East - seventy years later!,,,,,
afr_test_track_c_00255,But that does not mean that you are healthy.,,,,,
afr_test_track_c_00256,Afrikaans has evolved in such a way that it is possible to convey highly sophisticated scientific concepts and theories.,,,,,
afr_test_track_c_00257,This requires a thorough study and planning together with interest groups.,,,,,
afr_test_track_c_00258,The total area of the project will be about 44 hectares.,,,,,
afr_test_track_c_00259,And such is the mandate that history imposes on us today.,,,,,
afr_test_track_c_00260,The role played by pilot farms as outdoor laboratories for the demonstration of best agricultural practices cannot be underestimated.,,,,,
afr_test_track_c_00261,They played rugby and cricket for South Africa.,,,,,
afr_test_track_c_00262,"Nienaber, who in their books side chooses for the Toeriens.",,,,,
afr_test_track_c_00263,"I stand before you, not as a prophet, but as a humble servant of you, the people.",,,,,
afr_test_track_c_00264,"The luxuries and excesses in education, which are not really relevant, will therefore have to be sacrificed.",,,,,
afr_test_track_c_00265,"Education, like many other areas of life, is undergoing profound change.",,,,,
afr_test_track_c_00266,But we have no doubt that it will come at some point.,,,,,
afr_test_track_c_00267,We acknowledge the valuable role that the Afrikaans Language Museum has played in the development of the language.,,,,,
afr_test_track_c_00268,She asked him to present the report to her before publishing it.,,,,,
afr_test_track_c_00269,We are just saying dynamically that we should implement privatization.,,,,,
afr_test_track_c_00270,Temperatures of over 50 degrees Celsius caused the machine that was supposed to do the pipelines not to work.,,,,,
afr_test_track_c_00271,Operating the plant will create up to 50 new specialised jobs.,,,,,
afr_test_track_c_00272,"Over the next three years, the government will spend R846 billion on public infrastructure.",,,,,
afr_test_track_c_00273,Life is the most precious possession that a province and its government must cherish and embrace.,,,,,
afr_test_track_c_00274,"Where more than four million children now receive support from the resort, the number will rise to over six million in 2006.",,,,,
afr_test_track_c_00275,"Our relationship with them is unambiguous, honest, and based on mutual respect.",,,,,
afr_test_track_c_00276,Please support the Statige Gastehaus if you have to go home to Bloemfontein.,,,,,
afr_test_track_c_00277,"Even if he wanted to, he could not get rid of it now without catastrophic economic consequences for himself and for greater South Africa.",,,,,
afr_test_track_c_00278,I want to tell you right away that the path you have taken with us is not an easy one.,,,,,
afr_test_track_c_00279,"Of course, that is far from the truth.",,,,,
afr_test_track_c_00280,"Being a farmer is not a right, it's a privilege.",,,,,
afr_test_track_c_00281,"Neethling also points out that the ward Mooirivier was not in Natal, but only the river with that name.",,,,,
afr_test_track_c_00282,It was heartwarming to hear that children were included in this theme.,,,,,
afr_test_track_c_00283,"In this way, the industry will develop sustainably.",,,,,
afr_test_track_c_00284,"Thus, scholarships and training fees will have to be viewed with new eyes.",,,,,
afr_test_track_c_00285,"For example, the general expectation is that only about 50% of rapes and attempted rapes are reported.",,,,,
afr_test_track_c_00286,The project consists of 1.7 ha of Colombar wine grapes.,,,,,
afr_test_track_c_00287,"The massive Eskom construction programme for new generation, transmission and distribution capacity will continue; and where possible, some projects will be accelerated.",,,,,
afr_test_track_c_00288,"How can you, as community members, through your involvement, also play a meaningful and critical role in making communities safer?",,,,,
afr_test_track_c_00289,"In addition, we have also begun to explore measures to reach vulnerable children over the age of 14.",,,,,
afr_test_track_c_00290,That's what I'm asking for your support for.,,,,,
afr_test_track_c_00291,We know this will not be the end of their donations.,,,,,
afr_test_track_c_00292,It also ensures immediate access to packaging facilities for Osplaas shareholders.,,,,,
afr_test_track_c_00293,We have put education and skill development at the heart of this government's policies.,,,,,
afr_test_track_c_00294,They are people who know the tourism and hospitality industry from all sides.,,,,,
afr_test_track_c_00295,"However, the world is constantly changing, and South African agriculture is often the passenger in this changing environment.",,,,,
afr_test_track_c_00296,"The Memorial School grew from strength to strength, and Afrikaans-speakers from all over the country sent their children there.",,,,,
afr_test_track_c_00297,The democratic model I'm referring to is essentially about building pride in our schools.,,,,,
afr_test_track_c_00298,It feels good to see the cranes against the silhouette of our city as a sure sign of progress and confidence.,,,,,
afr_test_track_c_00299,"The relevant laws in this regard have already been approved by Parliament, including the necessary constitutional amendments.",,,,,
afr_test_track_c_00300,People who show off are proud of their handiwork.,,,,,
afr_test_track_c_00301,"Another 24,188 applications are currently being processed, already exceeding the target of 92,929 children.",,,,,
afr_test_track_c_00302,And so one could go on to cite example after example.,,,,,
afr_test_track_c_00303,It is not my purpose today to talk about education policy or about (boring) data and figures.,,,,,
afr_test_track_c_00304,"This suggests that the poverty situation has improved markedly, especially among people experiencing the highest degree of welfare deprivation.",,,,,
afr_test_track_c_00305,It should also educate the youth to take their place in the wider circle of the South African nation.,,,,,
afr_test_track_c_00306,Cooperation for the best interest of all in South Africa.,,,,,
afr_test_track_c_00307,"Last week, the distinguished members had the opportunity to reflect on these matters.",,,,,
afr_test_track_c_00308,There is a saying that you have to eat a bag of salt with someone before you really know them.,,,,,
afr_test_track_c_00309,"Since then, the harvest - as always - has been rich, varied, and very interesting.",,,,,
afr_test_track_c_00310,This is the challenge he has set for all of us here.,,,,,
afr_test_track_c_00311,There is a well-known fishing port used by commercial fishermen and sport fishermen.,,,,,
afr_test_track_c_00312,I'm excited that you're participating in this competition.,,,,,
afr_test_track_c_00313,"That's a compliment indeed, because every economist in public finance aims for predictability and stability of course.",,,,,
afr_test_track_c_00314,Popular nationalism cannot be eliminated - it must be institutionalized and managed.,,,,,
afr_test_track_c_00315,The aim is to give 5 000 children practical experience of CPR during the Water Wise workshop.,,,,,
afr_test_track_c_00316,We are also ready for your children who have successfully completed school.,,,,,
afr_test_track_c_00317,"Thabo Mbeki is a young man who was shaped by that organization, and his actions speak volumes.",,,,,
afr_test_track_c_00318,"Schoeman had a wide circle of friends and correspondents, which was also not limited to the literary world.",,,,,
afr_test_track_c_00319,"And as I said at the beginning, show is important.",,,,,
afr_test_track_c_00320,"After all, the power of the reading circle culture lies precisely in the fact that reading circles arise and function as spontaneously and autonomously as possible.",,,,,
afr_test_track_c_00321,"The latter option was the best solution, and a borehole was drilled, but unfortunately it did not yield much water.",,,,,
